,month,artist,ms_played
0,2021-11-01,88rising,1232746
1,2021-11-01,ASL,1619762
2,2021-11-01,Alabama Shakes,1409133
3,2021-11-01,Aminé,5194966
4,2021-11-01,Anderson .Paak,2229158
5,2021-11-01,Baby Keem,4227456
6,2021-11-01,Big Wild,180814
7,2021-11-01,Billie Eilish,1220273
8,2021-11-01,Brittany Howard,748960
9,2021-11-01,Brothers Osborne,792654
10,2021-11-01,Bruno Mars,2451269
11,2021-11-01,COIN,4590830
12,2021-11-01,Calvin Harris,1273062
13,2021-11-01,Charlie Puth,202876
14,2021-11-01,Chris Stapleton,2172110
15,2021-11-01,Creedence Clearwater Revival,1448053
16,2021-11-01,Daniel Caesar,1847374
17,2021-11-01,Denzel Curry,562984
18,2021-11-01,Disclosure,683689
19,2021-11-01,Drake,920344
20,2021-11-01,Dua Lipa,4347677
21,2021-11-01,Duckwrth,3102677
22,2021-11-01,Electric Light Orchestra,343036
23,2021-11-01,Elise Trouw,115701
24,2021-11-01,Elton John,1335592
25,2021-11-01,Fall Out Boy,213912
26,2021-11-01,Florence + The Machine,1217187
27,2021-11-01,Foo Fighters,2148334
28,2021-11-01,Frank Ocean,6944045
29,2021-11-01,Gallant,1258566
30,2021-11-01,GoldLink,2877766
31,2021-11-01,Greta Van Fleet,1016752
32,2021-11-01,Joji,1280895
33,2021-11-01,Kanye West,7279522
34,2021-11-01,Kendrick Lamar,5123463
35,2021-11-01,Khalid,1113444
36,2021-11-01,Lake Street Dive,36905889
37,2021-11-01,Lauv,1224292
38,2021-11-01,Lorde,2723464
39,2021-11-01,Mac Miller,3020705
40,2021-11-01,Maggie Rogers,1143275
41,2021-11-01,Major Lazer,1625099
42,2021-11-01,Midland,1640112
43,2021-11-01,Mo Lowda & the Humble,1307932
44,2021-11-01,Motel Radio,763977
45,2021-11-01,OneRepublic,1138258
46,2021-11-01,Post Malone,1372449
47,2021-11-01,Rainbow Kitten Surprise,506353
48,2021-11-01,Remi Wolf,2619425
49,2021-11-01,Rex Orange County,876825
50,2021-11-01,ScHoolboy Q,615153
51,2021-11-01,Shovels & Rope,3264394
52,2021-11-01,Surfaces,1211814
53,2021-11-01,Tame Impala,897755
54,2021-11-01,Taylor Swift,17974278
55,2021-11-01,The Brook & The Bluff,734065
56,2021-11-01,"Tyler, The Creator",1922925
57,2021-11-01,Zara Larsson,638765
58,2021-12-01,88rising,1746459
59,2021-12-01,ASL,3221572
60,2021-12-01,Alabama Shakes,3588579
61,2021-12-01,Aminé,9662463
62,2021-12-01,Anderson .Paak,4092811
63,2021-12-01,Baby Keem,7618989
64,2021-12-01,Big Wild,16995271
65,2021-12-01,Billie Eilish,1438719
66,2021-12-01,Brittany Howard,2026637
67,2021-12-01,Brothers Osborne,1165143
68,2021-12-01,Bruno Mars,7707282
69,2021-12-01,COIN,5828131
70,2021-12-01,Calvin Harris,2866460
71,2021-12-01,Charlie Puth,402337
72,2021-12-01,Chris Stapleton,3219053
73,2021-12-01,Creedence Clearwater Revival,1885570
74,2021-12-01,Daniel Caesar,3208795
75,2021-12-01,Denzel Curry,750464
76,2021-12-01,Disclosure,2009351
77,2021-12-01,Drake,1190202
78,2021-12-01,Dua Lipa,7401715
79,2021-12-01,Duckwrth,5196984
80,2021-12-01,Electric Light Orchestra,815080
81,2021-12-01,Elise Trouw,115701
82,2021-12-01,Elton John,2226761
83,2021-12-01,Fall Out Boy,460434
84,2021-12-01,Florence + The Machine,1844498
85,2021-12-01,Foo Fighters,3019188
86,2021-12-01,Frank Ocean,29686928
87,2021-12-01,Gallant,1462422
88,2021-12-01,GoldLink,3713777
89,2021-12-01,Greta Van Fleet,1606752
90,2021-12-01,Joji,1676577
91,2021-12-01,Kanye West,9203987
92,2021-12-01,Kendrick Lamar,7929184
93,2021-12-01,Khalid,3115704
94,2021-12-01,Lake Street Dive,65029085
95,2021-12-01,Lauv,1712458
96,2021-12-01,Lorde,4015104
97,2021-12-01,Mac Miller,6239803
98,2021-12-01,Maggie Rogers,2047101
99,2021-12-01,Major Lazer,3259865
100,2021-12-01,Midland,4662809
101,2021-12-01,Mo Lowda & the Humble,1633936
102,2021-12-01,Motel Radio,8061580
103,2021-12-01,OneRepublic,1812184
104,2021-12-01,Post Malone,2264048
105,2021-12-01,Rainbow Kitten Surprise,1204763
106,2021-12-01,Remi Wolf,4338931
107,2021-12-01,Rex Orange County,1398154
108,2021-12-01,ScHoolboy Q,1020644
109,2021-12-01,Sean Dagher,4925705
110,2021-12-01,Shovels & Rope,4844739
111,2021-12-01,Surfaces,3223784
112,2021-12-01,Tame Impala,1362616
113,2021-12-01,Taylor Swift,57377495
114,2021-12-01,The Brook & The Bluff,734885
115,2021-12-01,The Longest Johns,8659423
116,2021-12-01,"Tyler, The Creator",8581554
117,2021-12-01,Zara Larsson,1481060
118,2022-01-01,88rising,3080059
119,2022-01-01,ASL,3661871
120,2022-01-01,Alabama Shakes,5451671
121,2022-01-01,Aminé,20355122
122,2022-01-01,Anderson .Paak,6584938
123,2022-01-01,Baby Keem,9803971
124,2022-01-01,Big Wild,19229186
125,2022-01-01,Billie Eilish,2610159
126,2022-01-01,Brittany Howard,3087732
127,2022-01-01,Brothers Osborne,2236212
128,2022-01-01,Bruno Mars,8634131
129,2022-01-01,COIN,7536445
130,2022-01-01,Calvin Harris,5219904
131,2022-01-01,Charlie Puth,755327
132,2022-01-01,Chris Stapleton,5933978
133,2022-01-01,Creedence Clearwater Revival,2643724
134,2022-01-01,Daniel Caesar,4805126
135,2022-01-01,Denzel Curry,2395112
136,2022-01-01,Disclosure,3995250
137,2022-01-01,Drake,3234030
138,2022-01-01,Dua Lipa,10163905
139,2022-01-01,Duckwrth,6250631
140,2022-01-01,Electric Light Orchestra,899966
141,2022-01-01,Elise Trouw,374905
142,2022-01-01,Elton John,2408947
143,2022-01-01,Fall Out Boy,1576358
144,2022-01-01,Florence + The Machine,4001489
145,2022-01-01,Foo Fighters,4512397
146,2022-01-01,Frank Ocean,36311592
147,2022-01-01,Gallant,3154501
148,2022-01-01,GoldLink,4992132
149,2022-01-01,Greta Van Fleet,2576143
150,2022-01-01,Joji,2909342
151,2022-01-01,Kanye West,12722961
152,2022-01-01,Kendrick Lamar,12375891
153,2022-01-01,Khalid,4293142
154,2022-01-01,Khruangbin,190433
155,2022-01-01,Lake Street Dive,89180548
156,2022-01-01,Lauv,2714133
157,2022-01-01,Lorde,6237047
158,2022-01-01,Mac Miller,13954741
159,2022-01-01,Maggie Rogers,2702194
160,2022-01-01,Major Lazer,5432090
161,2022-01-01,Midland,6820579
162,2022-01-01,Mo Lowda & the Humble,2092268
163,2022-01-01,Motel Radio,18901576
164,2022-01-01,OneRepublic,2480875
165,2022-01-01,Post Malone,2727210
166,2022-01-01,Rainbow Kitten Surprise,2333497
167,2022-01-01,Remi Wolf,5120444
168,2022-01-01,Rex Orange County,1882401
169,2022-01-01,ScHoolboy Q,3770615
170,2022-01-01,Scary Pockets,12792929
171,2022-01-01,Sean Dagher,5798127
172,2022-01-01,Shovels & Rope,7185874
173,2022-01-01,Surfaces,9105964
174,2022-01-01,Tame Impala,2636239
175,2022-01-01,Taylor Swift,60926322
176,2022-01-01,The Brook & The Bluff,3239217
177,2022-01-01,The Longest Johns,9746433
178,2022-01-01,"Tyler, The Creator",10217899
179,2022-01-01,Zara Larsson,2989249
180,2022-02-01,88rising,4361441
181,2022-02-01,ASL,3847068
182,2022-02-01,Alabama Shakes,7269529
183,2022-02-01,Aminé,21436194
184,2022-02-01,Anderson .Paak,8652108
185,2022-02-01,Baby Keem,12933823
186,2022-02-01,Big Wild,20384448
187,2022-02-01,Billie Eilish,3872727
188,2022-02-01,Brittany Howard,4047994
189,2022-02-01,Brothers Osborne,3182401
190,2022-02-01,Bruno Mars,9283374
191,2022-02-01,COIN,10442213
192,2022-02-01,Calvin Harris,6646804
193,2022-02-01,Charlie Puth,1350359
194,2022-02-01,Chris Stapleton,7659695
195,2022-02-01,Creedence Clearwater Revival,3288046
196,2022-02-01,Daniel Caesar,5199079
197,2022-02-01,Denzel Curry,6532047
198,2022-02-01,Disclosure,4840911
199,2022-02-01,Drake,3855644
200,2022-02-01,Dua Lipa,11696447
201,2022-02-01,Duckwrth,7352792
202,2022-02-01,Electric Light Orchestra,1131689
203,2022-02-01,Elise Trouw,13689883
204,2022-02-01,Elton John,3392106
205,2022-02-01,Fall Out Boy,1579928
206,2022-02-01,Florence + The Machine,4767114
207,2022-02-01,Foo Fighters,7667644
208,2022-02-01,Frank Ocean,43133784
209,2022-02-01,Gallant,3367418
210,2022-02-01,GoldLink,5813451
211,2022-02-01,Greta Van Fleet,3080416
212,2022-02-01,Joji,3502572
213,2022-02-01,Kanye West,13194884
214,2022-02-01,Kendrick Lamar,18158944
215,2022-02-01,Khalid,5894712
216,2022-02-01,Khruangbin,8340676
217,2022-02-01,Lake Street Dive,95597843
218,2022-02-01,Lauv,3900225
219,2022-02-01,Lorde,8632080
220,2022-02-01,Mac Miller,18669271
221,2022-02-01,Maggie Rogers,2703514
222,2022-02-01,Major Lazer,6043152
223,2022-02-01,Midland,7918628
224,2022-02-01,Mo Lowda & the Humble,2636682
225,2022-02-01,Motel Radio,19963761
226,2022-02-01,OneRepublic,3814391
227,2022-02-01,Pomplamoose,162393066
228,2022-02-01,Post Malone,3606497
229,2022-02-01,Rainbow Kitten Surprise,2813443
230,2022-02-01,Remi Wolf,5464546
231,2022-02-01,Rex Orange County,3087766
232,2022-02-01,ScHoolboy Q,4046697
233,2022-02-01,Scary Pockets,25498321
234,2022-02-01,Sean Dagher,5798127
235,2022-02-01,Shovels & Rope,11189701
236,2022-02-01,Surfaces,9822649
237,2022-02-01,Tame Impala,6441490
238,2022-02-01,Taylor Swift,65257789
239,2022-02-01,The Brook & The Bluff,4777013
240,2022-02-01,The Longest Johns,10050325
241,2022-02-01,"Tyler, The Creator",11245069
242,2022-02-01,Zara Larsson,3586291
243,2022-03-01,88rising,4933671
244,2022-03-01,ASL,5062864
245,2022-03-01,Alabama Shakes,9487832
246,2022-03-01,Aminé,25468235
247,2022-03-01,Anderson .Paak,11537840
248,2022-03-01,Baby Keem,20935767
249,2022-03-01,Big Wild,23294952
250,2022-03-01,Billie Eilish,6057735
251,2022-03-01,Brittany Howard,4929895
252,2022-03-01,Brothers Osborne,5018200
253,2022-03-01,Bruno Mars,10535214
254,2022-03-01,COIN,12259801
255,2022-03-01,Calvin Harris,9731137
256,2022-03-01,Charlie Puth,1352966
257,2022-03-01,Chris Stapleton,11666422
258,2022-03-01,Creedence Clearwater Revival,4216404
259,2022-03-01,Daniel Caesar,5540438
260,2022-03-01,Denzel Curry,8632961
261,2022-03-01,Disclosure,6070056
262,2022-03-01,Drake,5129622
263,2022-03-01,Dua Lipa,14558710
264,2022-03-01,Duckwrth,9752985
265,2022-03-01,Electric Light Orchestra,2011813
266,2022-03-01,Elise Trouw,13857471
267,2022-03-01,Elton John,4084949
268,2022-03-01,Fall Out Boy,2680044
269,2022-03-01,Florence + The Machine,5863477
270,2022-03-01,Foo Fighters,13352163
271,2022-03-01,Frank Ocean,53999589
272,2022-03-01,Gallant,4378012
273,2022-03-01,GoldLink,8977192
274,2022-03-01,Greta Van Fleet,5130404
275,2022-03-01,Joji,4458507
276,2022-03-01,Kanye West,15359911
277,2022-03-01,Kendrick Lamar,24269140
278,2022-03-01,Khalid,7659401
279,2022-03-01,Khruangbin,9820251
280,2022-03-01,Lake Street Dive,100974824
281,2022-03-01,Lauv,4130030
282,2022-03-01,Lorde,10441621
283,2022-03-01,Mac Miller,23706809
284,2022-03-01,Maggie Rogers,2894512
285,2022-03-01,Major Lazer,9035059
286,2022-03-01,Midland,18687412
287,2022-03-01,Mo Lowda & the Humble,3697020
288,2022-03-01,Motel Radio,22174426
289,2022-03-01,OneRepublic,3976095
290,2022-03-01,Pomplamoose,205296287
291,2022-03-01,Post Malone,5308122
292,2022-03-01,Rainbow Kitten Surprise,3001354
293,2022-03-01,Remi Wolf,5898821
294,2022-03-01,Rex Orange County,4657945
295,2022-03-01,ScHoolboy Q,5725638
296,2022-03-01,Scary Pockets,27199164
297,2022-03-01,Sean Dagher,6640859
298,2022-03-01,Shovels & Rope,11781654
299,2022-03-01,Surfaces,11922624
300,2022-03-01,Tame Impala,7971329
301,2022-03-01,Taylor Swift,66926800
302,2022-03-01,The Brook & The Bluff,6554930
303,2022-03-01,The Longest Johns,11651225
304,2022-03-01,"Tyler, The Creator",12820583
305,2022-03-01,Zara Larsson,4250449
306,2022-04-01,88rising,6409451
307,2022-04-01,ASL,5943534
308,2022-04-01,Alabama Shakes,11025904
309,2022-04-01,Aminé,27483301
310,2022-04-01,Anderson .Paak,14801020
311,2022-04-01,Baby Keem,22177122
312,2022-04-01,Big Wild,23958046
313,2022-04-01,Billie Eilish,6941784
314,2022-04-01,Brittany Howard,7205474
315,2022-04-01,Brothers Osborne,5518954
316,2022-04-01,Bruno Mars,11360883
317,2022-04-01,COIN,13175474
318,2022-04-01,Calvin Harris,12301625
319,2022-04-01,Charlie Puth,5457310
320,2022-04-01,Chris Stapleton,12623023
321,2022-04-01,Creedence Clearwater Revival,4564472
322,2022-04-01,Daniel Caesar,8957776
323,2022-04-01,Denzel Curry,16697851
324,2022-04-01,Disclosure,10878172
325,2022-04-01,Drake,6210074
326,2022-04-01,Dua Lipa,17559676
327,2022-04-01,Duckwrth,11931093
328,2022-04-01,Electric Light Orchestra,3199768
329,2022-04-01,Elise Trouw,15024232
330,2022-04-01,Elton John,6362990
331,2022-04-01,Fall Out Boy,3221693
332,2022-04-01,Florence + The Machine,8299480
333,2022-04-01,Foo Fighters,14461746
334,2022-04-01,Frank Ocean,57710496
335,2022-04-01,Gallant,4826133
336,2022-04-01,GoldLink,10098187
337,2022-04-01,Greta Van Fleet,6295762
338,2022-04-01,Joji,5923895
339,2022-04-01,Kanye West,16861609
340,2022-04-01,Kendrick Lamar,28722319
341,2022-04-01,Khalid,10272042
342,2022-04-01,Khruangbin,11399232
343,2022-04-01,Lake Street Dive,103479046
344,2022-04-01,Lauv,6175296
345,2022-04-01,Lorde,11061523
346,2022-04-01,Mac Miller,29856148
347,2022-04-01,Maggie Rogers,3147790
348,2022-04-01,Major Lazer,10638839
349,2022-04-01,Midland,20814044
350,2022-04-01,Mo Lowda & the Humble,4739145
351,2022-04-01,Motel Radio,23627551
352,2022-04-01,OneRepublic,4131292
353,2022-04-01,Pomplamoose,221921522
354,2022-04-01,Post Malone,7407501
355,2022-04-01,Rainbow Kitten Surprise,3955263
356,2022-04-01,Remi Wolf,6083779
357,2022-04-01,Rex Orange County,6631293
358,2022-04-01,ScHoolboy Q,6704862
359,2022-04-01,Scary Pockets,31738670
360,2022-04-01,Sean Dagher,6804732
361,2022-04-01,Shovels & Rope,12595293
362,2022-04-01,Surfaces,12991730
363,2022-04-01,Tame Impala,10607670
364,2022-04-01,Taylor Swift,68579607
365,2022-04-01,The Brook & The Bluff,6848080
366,2022-04-01,The Longest Johns,11870980
367,2022-04-01,"Tyler, The Creator",14391132
368,2022-04-01,Zara Larsson,5954036
369,2022-05-01,88rising,7520011
370,2022-05-01,ASL,6937568
371,2022-05-01,Alabama Shakes,12395542
372,2022-05-01,Aminé,28565401
373,2022-05-01,Anderson .Paak,17282893
374,2022-05-01,Baby Keem,24269638
375,2022-05-01,Big Wild,24194696
376,2022-05-01,Billie Eilish,7582403
377,2022-05-01,Brittany Howard,7246070
378,2022-05-01,Brothers Osborne,5908050
379,2022-05-01,Bruno Mars,12151647
380,2022-05-01,COIN,13242047
381,2022-05-01,Calvin Harris,14355449
382,2022-05-01,Charlie Puth,5476372
383,2022-05-01,Chris Stapleton,13997959
384,2022-05-01,Creedence Clearwater Revival,4994408
385,2022-05-01,Daniel Caesar,9210332
386,2022-05-01,Denzel Curry,17837111
387,2022-05-01,Disclosure,11384018
388,2022-05-01,Drake,6951567
389,2022-05-01,Dua Lipa,20239541
390,2022-05-01,Duckwrth,14195752
391,2022-05-01,Electric Light Orchestra,3210080
392,2022-05-01,Elise Trouw,15236078
393,2022-05-01,Elton John,6742233
394,2022-05-01,Fall Out Boy,3226877
395,2022-05-01,Florence + The Machine,8867704
396,2022-05-01,Foo Fighters,16305333
397,2022-05-01,Frank Ocean,61384541
398,2022-05-01,Gallant,5664073
399,2022-05-01,GoldLink,10463725
400,2022-05-01,Greta Van Fleet,7978045
401,2022-05-01,Joji,6450087
402,2022-05-01,Kanye West,17603803
403,2022-05-01,Kendrick Lamar,55127438
404,2022-05-01,Khalid,14136632
405,2022-05-01,Khruangbin,12022194
406,2022-05-01,Lake Street Dive,107210458
407,2022-05-01,Lauv,6625862
408,2022-05-01,Lorde,11682387
409,2022-05-01,Mac Miller,34325464
410,2022-05-01,Maggie Rogers,3149582
411,2022-05-01,Major Lazer,11870833
412,2022-05-01,Midland,23938167
