,month,artist,ms_played
413,2022-05-01,Mo Lowda & the Humble,4977217
414,2022-05-01,Motel Radio,24069690
415,2022-05-01,OneRepublic,4849173
416,2022-05-01,Pomplamoose,232618791
417,2022-05-01,Post Malone,7873554
418,2022-05-01,Rainbow Kitten Surprise,4407043
419,2022-05-01,Remi Wolf,6691158
420,2022-05-01,Rex Orange County,7451835
421,2022-05-01,ScHoolboy Q,7141941
422,2022-05-01,Scary Pockets,34787922
423,2022-05-01,Sean Dagher,7166664
424,2022-05-01,Shovels & Rope,12770273
425,2022-05-01,Surfaces,13669227
426,2022-05-01,Tame Impala,11888872
427,2022-05-01,Taylor Swift,69119008
428,2022-05-01,The Brook & The Bluff,7337969
429,2022-05-01,The Longest Johns,12590291
430,2022-05-01,"Tyler, The Creator",15604062
431,2022-05-01,Zara Larsson,6991673
432,2022-06-01,88rising,9051092
433,2022-06-01,ASL,7958870
434,2022-06-01,Alabama Shakes,13497953
435,2022-06-01,Aminé,29949390
436,2022-06-01,Anderson .Paak,18095820
437,2022-06-01,Baby Keem,25202013
438,2022-06-01,Big Wild,24685290
439,2022-06-01,Billie Eilish,9016107
440,2022-06-01,Brittany Howard,7408880
441,2022-06-01,Brothers Osborne,6726062
442,2022-06-01,Bruno Mars,13304288
443,2022-06-01,COIN,14059047
444,2022-06-01,Calvin Harris,20537712
445,2022-06-01,Charlie Puth,6304180
446,2022-06-01,Chris Stapleton,14513980
447,2022-06-01,Creedence Clearwater Revival,5599891
448,2022-06-01,Daniel Caesar,10896612
449,2022-06-01,Denzel Curry,20925491
450,2022-06-01,Disclosure,14273809
451,2022-06-01,Drake,7674830
452,2022-06-01,Dua Lipa,23486933
453,2022-06-01,Duckwrth,15812665
454,2022-06-01,Electric Light Orchestra,3930750
455,2022-06-01,Elise Trouw,15980565
456,2022-06-01,Elton John,6900161
457,2022-06-01,Fall Out Boy,3900077
458,2022-06-01,Florence + The Machine,9662168
459,2022-06-01,Foo Fighters,18162746
460,2022-06-01,Frank Ocean,66874740
461,2022-06-01,Gallant,7504381
462,2022-06-01,GoldLink,11103716
463,2022-06-01,Greta Van Fleet,25732398
464,2022-06-01,Joji,7757461
465,2022-06-01,Kanye West,19955283
466,2022-06-01,Kendrick Lamar,62714510
467,2022-06-01,Khalid,15810784
468,2022-06-01,Khruangbin,12789236
469,2022-06-01,Lake Street Dive,110611470
470,2022-06-01,Lauv,7577834
471,2022-06-01,Lorde,12927923
472,2022-06-01,Mac Miller,39720361
473,2022-06-01,Maggie Rogers,3439848
474,2022-06-01,Major Lazer,16423725
475,2022-06-01,Midland,35984672
476,2022-06-01,Mo Lowda & the Humble,7393785
477,2022-06-01,Motel Radio,25417611
478,2022-06-01,OneRepublic,5039604
479,2022-06-01,Pomplamoose,238853749
480,2022-06-01,Post Malone,10050025
481,2022-06-01,Rainbow Kitten Surprise,4410188
482,2022-06-01,Remi Wolf,8402442
483,2022-06-01,Rex Orange County,7783828
484,2022-06-01,ScHoolboy Q,8651711
485,2022-06-01,Scary Pockets,38094036
486,2022-06-01,Sean Dagher,7716700
487,2022-06-01,Shovels & Rope,13585537
488,2022-06-01,Surfaces,15320005
489,2022-06-01,Tame Impala,12989013
490,2022-06-01,Taylor Swift,69953302
491,2022-06-01,The Brook & The Bluff,8754551
492,2022-06-01,The Home Team,19152952
493,2022-06-01,The Longest Johns,13594969
494,2022-06-01,"Tyler, The Creator",16392720
495,2022-06-01,Zara Larsson,11296601
496,2022-07-01,88rising,9461649
497,2022-07-01,ASL,8240887
498,2022-07-01,Alabama Shakes,14124978
499,2022-07-01,Aminé,33050818
500,2022-07-01,Anderson .Paak,19221648
501,2022-07-01,Baby Keem,27156751
502,2022-07-01,Big Wild,25985493
503,2022-07-01,Billie Eilish,9831582
504,2022-07-01,Brittany Howard,7967925
505,2022-07-01,Brothers Osborne,7353574
506,2022-07-01,Bruno Mars,13519310
507,2022-07-01,COIN,15185494
508,2022-07-01,Calvin Harris,24947186
509,2022-07-01,Charlie Puth,6488326
510,2022-07-01,Chris Stapleton,15762993
511,2022-07-01,Creedence Clearwater Revival,5757806
512,2022-07-01,Daniel Caesar,11991706
513,2022-07-01,Denzel Curry,23944737
514,2022-07-01,Disclosure,18191530
515,2022-07-01,Drake,7725192
516,2022-07-01,Dua Lipa,34651647
517,2022-07-01,Duckwrth,16755937
518,2022-07-01,Electric Light Orchestra,3949409
519,2022-07-01,Elise Trouw,16195587
520,2022-07-01,Elton John,7688960
521,2022-07-01,Fall Out Boy,4716856
522,2022-07-01,Florence + The Machine,10461678
523,2022-07-01,Foo Fighters,18965073
524,2022-07-01,Frank Ocean,69101721
525,2022-07-01,Gallant,7842985
526,2022-07-01,GoldLink,12501817
527,2022-07-01,Greta Van Fleet,42856918
528,2022-07-01,Joji,8538822
529,2022-07-01,Kanye West,20737936
530,2022-07-01,Kendrick Lamar,64050874
531,2022-07-01,Khalid,16691054
532,2022-07-01,Khruangbin,13294982
533,2022-07-01,Lake Street Dive,115414776
534,2022-07-01,Lauv,8671973
535,2022-07-01,Lorde,13495373
536,2022-07-01,Mac Miller,45550358
537,2022-07-01,Maggie Rogers,4150945
538,2022-07-01,Major Lazer,18228053
539,2022-07-01,Midland,38530472
540,2022-07-01,Mo Lowda & the Humble,10286968
541,2022-07-01,Motel Radio,28735991
542,2022-07-01,OneRepublic,5401767
543,2022-07-01,Pomplamoose,246065063
544,2022-07-01,Post Malone,10659255
545,2022-07-01,Rainbow Kitten Surprise,4584504
546,2022-07-01,Remi Wolf,9114889
547,2022-07-01,Rex Orange County,8012335
548,2022-07-01,ScHoolboy Q,8908254
549,2022-07-01,Scary Pockets,40659779
550,2022-07-01,Sean Dagher,7964833
551,2022-07-01,Shovels & Rope,14393531
552,2022-07-01,Surfaces,18506419
553,2022-07-01,Tame Impala,13424612
554,2022-07-01,Taylor Swift,70616321
555,2022-07-01,The Brook & The Bluff,9837314
556,2022-07-01,The Home Team,20320227
557,2022-07-01,The Longest Johns,14225229
558,2022-07-01,"Tyler, The Creator",17208485
559,2022-07-01,Zara Larsson,12607767
560,2022-08-01,88rising,9714655
561,2022-08-01,ASL,8255555
562,2022-08-01,Alabama Shakes,15612409
563,2022-08-01,Aminé,33445592
564,2022-08-01,Anderson .Paak,20165528
565,2022-08-01,Baby Keem,27867403
566,2022-08-01,Big Wild,26471588
567,2022-08-01,Billie Eilish,9900059
568,2022-08-01,Brittany Howard,8318672
569,2022-08-01,Brothers Osborne,7510488
570,2022-08-01,Bruno Mars,13749725
571,2022-08-01,COIN,15647338
572,2022-08-01,Calvin Harris,34338261
573,2022-08-01,Charlie Puth,6659022
574,2022-08-01,Chris Stapleton,16432924
575,2022-08-01,Creedence Clearwater Revival,6045924
576,2022-08-01,Daniel Caesar,12488644
577,2022-08-01,Denzel Curry,25542497
578,2022-08-01,Disclosure,21185786
579,2022-08-01,Drake,7969240
580,2022-08-01,Dua Lipa,36110737
581,2022-08-01,Duckwrth,17190094
582,2022-08-01,Electric Light Orchestra,4448749
583,2022-08-01,Elise Trouw,16503322
584,2022-08-01,Elton John,7910494
585,2022-08-01,Fall Out Boy,4728200
586,2022-08-01,Florence + The Machine,10723834
587,2022-08-01,Foo Fighters,19676554
588,2022-08-01,Frank Ocean,70637664
589,2022-08-01,Gallant,7853203
590,2022-08-01,GoldLink,12515076
591,2022-08-01,Greta Van Fleet,44529093
592,2022-08-01,Joji,8920615
593,2022-08-01,Kanye West,20978499
594,2022-08-01,Kendrick Lamar,64622948
595,2022-08-01,Khalid,16828619
596,2022-08-01,Khruangbin,15044676
597,2022-08-01,Lake Street Dive,118509678
598,2022-08-01,Lauv,9362200
599,2022-08-01,Lorde,13503943
600,2022-08-01,Mac Miller,46603220
601,2022-08-01,Maggie Rogers,21924896
602,2022-08-01,Major Lazer,18627545
603,2022-08-01,Midland,39137773
604,2022-08-01,Mo Lowda & the Humble,10579688
605,2022-08-01,Motel Radio,29688555
606,2022-08-01,OneRepublic,5574252
607,2022-08-01,Pomplamoose,250087709
608,2022-08-01,Post Malone,11181424
609,2022-08-01,Rainbow Kitten Surprise,4591980
610,2022-08-01,Remi Wolf,9751173
611,2022-08-01,Rex Orange County,8848055
612,2022-08-01,ScHoolboy Q,9134675
613,2022-08-01,Scary Pockets,46427275
614,2022-08-01,Sean Dagher,7964833
615,2022-08-01,Shovels & Rope,14412904
616,2022-08-01,Surfaces,22931328
617,2022-08-01,Tame Impala,14272899
618,2022-08-01,Taylor Swift,70626721
619,2022-08-01,The Brook & The Bluff,10448758
620,2022-08-01,The Home Team,20674558
621,2022-08-01,The Longest Johns,14225229
622,2022-08-01,"Tyler, The Creator",17464138
623,2022-08-01,Zara Larsson,12822174
624,2022-09-01,88rising,10079155
625,2022-09-01,ASL,8430909
626,2022-09-01,Alabama Shakes,16747085
627,2022-09-01,Aminé,34443984
628,2022-09-01,Anderson .Paak,21166263
629,2022-09-01,Baby Keem,28027905
630,2022-09-01,Big Wild,27333511
631,2022-09-01,Billie Eilish,10068170
632,2022-09-01,Brittany Howard,9345009
633,2022-09-01,Brothers Osborne,7743283
634,2022-09-01,Bruno Mars,13959778
635,2022-09-01,COIN,16238275
636,2022-09-01,Calvin Harris,36422102
637,2022-09-01,Charlie Puth,8341502
638,2022-09-01,Chris Stapleton,17254155
639,2022-09-01,Creedence Clearwater Revival,6823116
640,2022-09-01,Daniel Caesar,13322244
641,2022-09-01,Denzel Curry,26442749
642,2022-09-01,Disclosure,26349497
643,2022-09-01,Drake,8613456
644,2022-09-01,Dua Lipa,37809490
645,2022-09-01,Duckwrth,18542816
646,2022-09-01,Electric Light Orchestra,4858231
647,2022-09-01,Elise Trouw,16626349
648,2022-09-01,Elton John,9685592
649,2022-09-01,Fall Out Boy,5335959
650,2022-09-01,Florence + The Machine,11774928
651,2022-09-01,Foo Fighters,20427061
652,2022-09-01,Frank Ocean,72072971
653,2022-09-01,Gallant,8464950
654,2022-09-01,GoldLink,13214141
655,2022-09-01,Greta Van Fleet,45996931
656,2022-09-01,Joji,9320633
657,2022-09-01,Kanye West,20993276
658,2022-09-01,Kendrick Lamar,65967147
659,2022-09-01,Khalid,18135238
660,2022-09-01,Khruangbin,23939855
661,2022-09-01,Lake Street Dive,121103860
662,2022-09-01,Lauv,10636516
663,2022-09-01,Lorde,13955533
664,2022-09-01,Mac Miller,48929399
665,2022-09-01,Maggie Rogers,24595853
666,2022-09-01,Major Lazer,18854277
667,2022-09-01,Midland,40264382
668,2022-09-01,Mo Lowda & the Humble,11005238
669,2022-09-01,Motel Radio,30755760
670,2022-09-01,OneRepublic,6138271
671,2022-09-01,Pomplamoose,253598981
672,2022-09-01,Post Malone,11860911
673,2022-09-01,Rainbow Kitten Surprise,4696495
674,2022-09-01,Remi Wolf,10091413
675,2022-09-01,Rex Orange County,8856450
676,2022-09-01,ScHoolboy Q,9683242
677,2022-09-01,Scary Pockets,52407738
678,2022-09-01,Sean Dagher,7964833
679,2022-09-01,Shovels & Rope,15039965
680,2022-09-01,Surfaces,24166076
681,2022-09-01,Tame Impala,15349446
682,2022-09-01,Taylor Swift,70857721
683,2022-09-01,The Brook & The Bluff,11100134
684,2022-09-01,The Home Team,20879824
685,2022-09-01,The Longest Johns,14225229
686,2022-09-01,"Tyler, The Creator",17918144
687,2022-09-01,Zara Larsson,13003930
688,2022-10-01,88rising,10108686
689,2022-10-01,ASL,8617130
690,2022-10-01,Alabama Shakes,16932140
691,2022-10-01,Aminé,36482513
692,2022-10-01,Anderson .Paak,22190989
693,2022-10-01,Baby Keem,28697274
694,2022-10-01,Big Wild,27415814
695,2022-10-01,Billie Eilish,10255118
696,2022-10-01,Brittany Howard,9759139
697,2022-10-01,Brothers Osborne,7981786
698,2022-10-01,Bruno Mars,14186617
699,2022-10-01,COIN,16833393
700,2022-10-01,Calvin Harris,37270438
701,2022-10-01,Charlie Puth,9050652
702,2022-10-01,Chris Stapleton,18644373
703,2022-10-01,Creedence Clearwater Revival,8230298
704,2022-10-01,Daniel Caesar,13674356
705,2022-10-01,Denzel Curry,29291627
706,2022-10-01,Disclosure,28161235
707,2022-10-01,Drake,9153383
708,2022-10-01,Dua Lipa,41274831
709,2022-10-01,Duckwrth,21405721
710,2022-10-01,Electric Light Orchestra,5342172
711,2022-10-01,Elise Trouw,16632153
712,2022-10-01,Elton John,10592772
713,2022-10-01,Fall Out Boy,6328121
714,2022-10-01,Florence + The Machine,12125734
715,2022-10-01,Foo Fighters,21397213
716,2022-10-01,Frank Ocean,72884473
717,2022-10-01,Gallant,8730531
718,2022-10-01,GoldLink,13458092
719,2022-10-01,Greta Van Fleet,48941691
720,2022-10-01,Joji,10037622
721,2022-10-01,Kanye West,21008511
722,2022-10-01,Kendrick Lamar,66626699
723,2022-10-01,Khalid,20646112
724,2022-10-01,Khruangbin,24448890
725,2022-10-01,Lake Street Dive,121767894
726,2022-10-01,Lauv,10840782
727,2022-10-01,Lorde,15169953
728,2022-10-01,Mac Miller,49679757
729,2022-10-01,Maggie Rogers,24785742
730,2022-10-01,Major Lazer,19781894
731,2022-10-01,Midland,42501285
732,2022-10-01,Mo Lowda & the Humble,11478727
733,2022-10-01,Motel Radio,30941503
734,2022-10-01,OneRepublic,6354197
735,2022-10-01,Pomplamoose,255578318
736,2022-10-01,Post Malone,12240203
737,2022-10-01,Rainbow Kitten Surprise,4928728
738,2022-10-01,Remi Wolf,10094121
739,2022-10-01,Rex Orange County,8876973
740,2022-10-01,ScHoolboy Q,9990352
741,2022-10-01,Scary Pockets,55495297
742,2022-10-01,Sean Dagher,8652407
743,2022-10-01,Shovels & Rope,15687357
744,2022-10-01,Surfaces,25522399
745,2022-10-01,Tame Impala,15902229
746,2022-10-01,Taylor Swift,75114167
747,2022-10-01,The Brook & The Bluff,11113366
748,2022-10-01,The Home Team,21797556
749,2022-10-01,The Longest Johns,21401542
750,2022-10-01,"Tyler, The Creator",18158685
751,2022-10-01,Zara Larsson,13598896
752,2022-11-01,88rising,10108686
753,2022-11-01,ASL,8618020
754,2022-11-01,Alabama Shakes,17554291
755,2022-11-01,Aminé,37336767
756,2022-11-01,Anderson .Paak,22712251
757,2022-11-01,Baby Keem,28970171
758,2022-11-01,Big Wild,27417021
759,2022-11-01,Billie Eilish,10483616
760,2022-11-01,Brittany Howard,9991709
761,2022-11-01,Brothers Osborne,8219416
762,2022-11-01,Bruno Mars,14604182
763,2022-11-01,COIN,16833393
764,2022-11-01,Calvin Harris,37766806
765,2022-11-01,Charlie Puth,9675931
766,2022-11-01,Chris Stapleton,19064542
767,2022-11-01,Creedence Clearwater Revival,8550467
768,2022-11-01,Daniel Caesar,14092108
769,2022-11-01,Denzel Curry,29395210
770,2022-11-01,Disclosure,28612143
771,2022-11-01,Drake,9160886
772,2022-11-01,Dua Lipa,41497352
773,2022-11-01,Duckwrth,22125194
774,2022-11-01,Electric Light Orchestra,5541605
775,2022-11-01,Elise Trouw,16634567
776,2022-11-01,Elton John,11295720
777,2022-11-01,Fall Out Boy,6336778
778,2022-11-01,Florence + The Machine,12646618
779,2022-11-01,Foo Fighters,22183441
780,2022-11-01,Frank Ocean,73308693
781,2022-11-01,Gallant,8890816
782,2022-11-01,GoldLink,13665706
783,2022-11-01,Greta Van Fleet,50066872
784,2022-11-01,Joji,10283262
785,2022-11-01,Kanye West,21595021
786,2022-11-01,Kendrick Lamar,67573989
787,2022-11-01,Khalid,20998354
788,2022-11-01,Khruangbin,24759443
789,2022-11-01,Lake Street Dive,122035846
790,2022-11-01,Lauv,11001522
791,2022-11-01,Lorde,15169953
792,2022-11-01,Mac Miller,51076142
793,2022-11-01,Maggie Rogers,25874670
794,2022-11-01,Major Lazer,19950852
795,2022-11-01,Midland,43288687
796,2022-11-01,Mo Lowda & the Humble,11828808
797,2022-11-01,Motel Radio,30941503
798,2022-11-01,OneRepublic,6355017
799,2022-11-01,Pomplamoose,256084965
800,2022-11-01,Post Malone,12250222
801,2022-11-01,Rainbow Kitten Surprise,4932124
802,2022-11-01,Remi Wolf,10094121
803,2022-11-01,Rex Orange County,9136260
804,2022-11-01,ScHoolboy Q,9991718
805,2022-11-01,Scary Pockets,55903949
806,2022-11-01,Sean Dagher,8787579
807,2022-11-01,Shovels & Rope,15854450
808,2022-11-01,Surfaces,25534179
809,2022-11-01,Tame Impala,16184526
810,2022-11-01,Taylor Swift,79028465
811,2022-11-01,The Brook & The Bluff,11371603
812,2022-11-01,The Home Team,21797556
813,2022-11-01,The Longest Johns,21573644
814,2022-11-01,"Tyler, The Creator",18381689
815,2022-11-01,Zara Larsson,13602680
